"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/08/2009","4.716,80","4.671,30","4.722,50","4.631,70","","0,97%"
"11/08/2009","4.671,30","4.722,20","4.744,10","4.657,80","","-1,08%"
"10/08/2009","4.722,20","4.731,60","4.731,60","4.688,80","","-0,20%"
"07/08/2009","4.731,60","4.690,50","4.743,60","4.632,20","","0,88%"
"06/08/2009","4.690,50","4.647,10","4.729,60","4.647,10","","0,93%"
"05/08/2009","4.647,10","4.671,40","4.696,60","4.630,60","","-0,52%"
"04/08/2009","4.671,40","4.682,50","4.682,50","4.627,70","","-0,24%"
"03/08/2009","4.682,50","4.608,40","4.710,20","4.595,60","","1,61%"
"31/07/2009","4.608,40","4.631,60","4.645,50","4.599,70","","-0,50%"
"30/07/2009","4.631,60","4.547,50","4.646,90","4.547,50","","1,85%"
"29/07/2009","4.547,50","4.528,80","4.581,80","4.512,10","","0,41%"
"28/07/2009","4.528,80","4.586,10","4.616,40","4.520,30","","-1,25%"
"27/07/2009","4.586,10","4.576,60","4.615,10","4.553,10","","0,21%"
"24/07/2009","4.576,60","4.559,80","4.603,20","4.536,50","","0,37%"
"23/07/2009","4.559,80","4.493,70","4.566,80","4.472,10","","1,47%"
"22/07/2009","4.493,70","4.481,20","4.498,00","4.449,20","","0,28%"
"21/07/2009","4.481,20","4.443,60","4.502,10","4.437,80","","0,85%"
"20/07/2009","4.443,60","4.388,80","4.464,80","4.388,80","","1,25%"
"17/07/2009","4.388,80","4.361,80","4.411,90","4.361,80","","0,62%"
"16/07/2009","4.361,80","4.346,50","4.385,10","4.329,40","","0,35%"
"15/07/2009","4.346,50","4.237,70","4.346,50","4.237,70","","2,57%"
"14/07/2009","4.237,70","4.202,10","4.256,40","4.198,70","","0,85%"
"13/07/2009","4.202,10","4.127,20","4.209,30","4.096,10","","1,81%"
"10/07/2009","4.127,20","4.158,70","4.160,50","4.123,50","","-0,76%"
"09/07/2009","4.158,70","4.140,20","4.186,40","4.140,20","","0,45%"
"08/07/2009","4.140,20","4.187,00","4.197,50","4.130,60","","-1,12%"
"07/07/2009","4.187,00","4.194,90","4.242,10","4.184,40","","-0,19%"
"06/07/2009","4.194,90","4.236,30","4.236,30","4.172,30","","-0,98%"
"03/07/2009","4.236,30","4.234,30","4.264,80","4.221,20","","0,05%"
"02/07/2009","4.234,30","4.340,70","4.340,70","4.230,80","","-2,45%"
"01/07/2009","4.340,70","4.249,20","4.353,00","4.249,20","","2,15%"
"30/06/2009","4.249,20","4.294,00","4.311,20","4.230,60","","-1,04%"
"29/06/2009","4.294,00","4.241,00","4.303,50","4.235,20","","1,25%"
"26/06/2009","4.241,00","4.252,60","4.307,20","4.216,50","","-0,27%"
"25/06/2009","4.252,60","4.280,00","4.290,40","4.213,40","","-0,64%"
"24/06/2009","4.280,00","4.230,00","4.293,00","4.218,40","","1,18%"
"23/06/2009","4.230,00","4.234,00","4.264,00","4.214,90","","-0,09%"
"22/06/2009","4.234,00","4.345,90","4.345,90","4.234,00","","-2,57%"
"19/06/2009","4.345,90","4.280,90","4.370,30","4.279,90","","1,52%"
"18/06/2009","4.280,90","4.278,50","4.305,40","4.239,70","","0,06%"
"17/06/2009","4.278,50","4.328,60","4.328,70","4.254,60","","-1,16%"
"16/06/2009","4.328,60","4.326,00","4.372,90","4.321,60","","0,06%"
"15/06/2009","4.326,00","4.442,00","4.442,00","4.319,80","","-2,61%"
"12/06/2009","4.442,00","4.461,90","4.472,00","4.427,20","","-0,45%"
"11/06/2009","4.461,90","4.436,80","4.478,40","4.409,10","","0,57%"
"10/06/2009","4.436,80","4.404,80","4.505,90","4.404,80","","0,73%"
"09/06/2009","4.404,80","4.405,20","4.445,50","4.387,30","","-0,01%"
"08/06/2009","4.405,20","4.438,60","4.438,60","4.370,50","","-0,75%"
"05/06/2009","4.438,60","4.386,90","4.495,90","4.386,90","","1,18%"
"04/06/2009","4.386,90","4.383,40","4.436,30","4.359,70","","0,08%"
"03/06/2009","4.383,40","4.477,00","4.477,20","4.359,30","","-2,09%"
"02/06/2009","4.477,00","4.506,20","4.506,20","4.435,90","","-0,65%"
"01/06/2009","4.506,20","4.417,90","4.517,60","4.417,90","","2,00%"
"29/05/2009","4.417,90","4.387,50","4.469,40","4.387,50","","0,69%"
"28/05/2009","4.387,50","4.416,20","4.416,20","4.341,10","","-0,65%"
"27/05/2009","4.416,20","4.411,70","4.439,80","4.390,20","","0,10%"
"26/05/2009","4.411,70","4.365,30","4.423,60","4.295,00","","1,06%"
"22/05/2009","4.365,30","4.345,50","4.393,10","4.335,00","","0,46%"
"21/05/2009","4.345,50","4.468,40","4.468,40","4.325,80","","-2,75%"
"20/05/2009","4.468,40","4.482,30","4.504,20","4.445,10","","-0,31%"
"19/05/2009","4.482,30","4.446,50","4.512,70","4.445,50","","0,81%"
"18/05/2009","4.446,50","4.348,10","4.446,50","4.307,70","","2,26%"
"15/05/2009","4.348,10","4.362,60","4.400,70","4.317,20","","-0,33%"
"14/05/2009","4.362,60","4.331,40","4.371,30","4.295,20","","0,72%"
"13/05/2009","4.331,40","4.425,50","4.448,00","4.328,20","","-2,13%"
"12/05/2009","4.425,50","4.435,50","4.457,50","4.397,40","","-0,23%"
"11/05/2009","4.435,50","4.462,10","4.470,00","4.401,50","","-0,60%"
"08/05/2009","4.462,10","4.398,70","4.487,50","4.398,70","","1,44%"
"07/05/2009","4.398,70","4.396,50","4.520,80","4.380,30","","0,05%"
"06/05/2009","4.396,50","4.336,90","4.437,60","4.317,00","","1,37%"
"05/05/2009","4.336,90","4.243,20","4.375,40","4.243,20","","2,21%"
"01/05/2009","4.243,20","4.243,70","4.251,60","4.210,80","","-0,01%"
"30/04/2009","4.243,70","4.189,60","4.293,60","4.189,60","","1,29%"
"29/04/2009","4.189,60","4.096,40","4.193,30","4.089,50","","2,28%"
"28/04/2009","4.096,40","4.167,00","4.167,00","4.058,70","","-1,69%"
"27/04/2009","4.167,00","4.156,00","4.179,20","4.088,70","","0,26%"
"24/04/2009","4.156,00","4.018,20","4.156,00","4.018,20","","3,43%"
"23/04/2009","4.018,20","4.030,70","4.082,30","3.999,10","","-0,31%"
"22/04/2009","4.030,70","3.987,50","4.036,00","3.948,20","","1,08%"
"21/04/2009","3.987,50","3.990,90","4.019,20","3.897,30","","-0,09%"
"20/04/2009","3.990,90","4.092,80","4.112,80","3.962,90","","-2,49%"
